CODE,PERIOD,NR_TRIPS Y,NR_TRIPS N,DatabaseReleaseDate
FL,2019038,9677,4537,20200715
FL,2019039,9532,4442,20200715
FL,2019040,10399,4933,20200715
FL,2019041,11049,5113,20200715
FL,2019042,11029,5138,20200715
FL,2019043,9983,4765,20200715
FL,2019044,10096,4911,20200715
FL,2019045,10780,5210,20200715
FL,2019046,10341,5016,20200715
FL,2019047,10057,4931,20200715
FL,2019048,11578,5524,20200715
FL,2019049,10487,5104,20200715
FL,2019050,10492,5118,20200715
FL,2019051,10163,5068,20200715
FL,2019052,10331,4773,20200715
FL,2020001,12074,5533,20200715
FL,2020002,12198,5592,20200715
FL,2020003,12003,5689,20200715
FL,2020004,11671,5483,20200715
FL,2020005,11813,5497,20200715
FL,2020006,11529,5426,20200715
FL,2020007,11359,5453,20200715
FL,2020008,11904,5676,20200715
FL,2020009,11682,5506,20200715
FL,2020010,11544,5563,20200715
FL,2020011,13965,6733,20200715
FL,2020012,15625,7366,20200715
FL,2020013,3208,1542,20200715
GE,2019037,1886,2146,20200715
GE,2019038,1959,2208,20200715
GE,2019039,1924,2222,20200715
GE,2019040,2092,2349,20200715
GE,2019041,2155,2505,20200715
GE,2019042,2150,2524,20200715
GE,2019043,2165,2463,20200715
GE,2019044,2217,2483,20200715
GE,2019045,2314,2592,20200715
GE,2019046,2213,2433,20200715
GE,2019047,2226,2530,20200715
GE,2019048,2425,2733,20200715
GE,2019049,2286,2533,20200715
GE,2019050,2260,2620,20200715
GE,2019051,2310,2744,20200715
GE,2019052,2231,2650,20200715
GE,2020001,2438,2767,20200715
GE,2020002,2237,2550,20200715
GE,2020003,2246,2571,20200715
GE,2020004,2244,2541,20200715
GE,2020005,2521,2446,20200715
GE,2020006,2332,2232,20200715
GE,2020007,2430,2637,20200715
GE,2020008,2238,2490,20200715
GE,2020009,2415,2625,20200715
GE,2020010,2427,2705,20200715
GE,2020011,2752,3056,20200715
GE,2020012,3003,3249,20200715
GE,2020013,2136,2326,20200715
GE,2020014,2139,2306,20200715
GE,2020015,2249,2410,20200715
GE,2020016,1790,1953,20200715
HEB,2019037,9071,4915,20200715
HEB,2019038,9221,5062,20200715
HEB,2019039,9199,4872,20200715
HEB,2019040,10179,5428,20200715
HEB,2019041,11184,5794,20200715
HEB,2019042,10720,5543,20200715
HEB,2019043,10241,5228,20200715
HEB,2019044,10602,5412,20200715
HEB,2019045,10570,5466,20200715
HEB,2019046,10965,5596,20200715
HEB,2019047,10626,5319,20200715
HEB,2019048,10989,5441,20200715
HEB,2019049,10622,5418,20200715
HEB,2019050,10345,5320,20200715
HEB,2019051,10226,5265,20200715
HEB,2019052,10056,4546,20200715
HEB,2020001,8518,5932,20200715
HEB,2020002,10420,5982,20200715
HEB,2020003,11005,5701,20200715
HEB,2020004,10819,5495,20200715
HEB,2020005,11019,5579,20200715
HEB,2020006,7522,6021,20200715
HEB,2020007,10110,6014,20200715
HEB,2020008,10714,5549,20200715
HEB,2020009,11171,5708,20200715
HEB,2020010,11085,5706,20200715
HEB,2020011,12324,6321,20200715
HEB,2020012,10873,5531,20200715
HEB,2020013,2095,1069,20200715
HYV,2019037,2498,2690,20200715
HYV,2019038,2412,2609,20200715
HYV,2019039,2308,2430,20200715
HYV,2019040,2525,2678,20200715
HYV,2019041,2599,2817,20200715
HYV,2019042,2667,2847,20200715
HYV,2019043,2562,2804,20200715
HYV,2019044,2599,2788,20200715
HYV,2019045,2615,2840,20200715
HYV,2019046,2588,2757,20200715
HYV,2019047,2542,2734,20200715
HYV,2019048,2663,2790,20200715
HYV,2019049,2598,2826,20200715
HYV,2019050,2628,2941,20200715
HYV,2019051,2574,2946,20200715
HYV,2019052,2720,2843,20200715
HYV,2020001,2792,3017,20200715
HYV,2020002,2838,3064,20200715
HYV,2020003,2633,2769,20200715
HYV,2020004,2601,2606,20200715
HYV,2020005,2798,2900,20200715
HYV,2020006,2691,2838,20200715
HYV,2020007,2621,2869,20200715
HYV,2020008,2714,2965,20200715
HYV,2020009,2734,2837,20200715
HYV,2020010,2812,2975,20200715
HYV,2020011,2948,3162,20200715
HYV,2020012,3286,3331,20200715
HYV,2020013,2238,2207,20200715
HYV,2020014,2325,2342,20200715
HYV,2020015,2570,2527,20200715
HYV,2020016,2473,2503,20200715
JEW,2019037,1484,812,20200715
JEW,2019038,1555,823,20200715
JEW,2019039,2239,257,20200715
JEW,2019040,2657,0,20200715
